number,date,cho,totalnum,6,5,4,3,2,1
50,2021-04-15,3,592111,5,9,2,1,1,1
49,2021-04-08,4,305248,3,0,5,2,4,8
48,2021-04-01,1,779363,7,7,9,3,6,3
47,2021-03-25,4,941327,9,4,1,3,2,7
46,2021-03-18,4,010963,0,1,0,9,6,3
45,2021-03-11,2,318754,3,1,8,7,5,4
44,2021-03-04,3,668818,6,6,8,8,1,8
43,2021-02-25,4,589839,5,8,9,8,3,9
42,2021-02-18,4,974231,9,7,4,2,3,1
41,2021-02-11,1,742714,7,4,2,7,1,4
40,2021-02-04,2,631086,6,3,1,0,8,6
39,2021-01-28,1,199137,1,9,9,1,3,7
38,2021-01-21,3,307836,3,0,7,8,3,6
37,2021-01-14,3,453877,4,5,3,8,7,7
36,2021-01-07,4,735757,7,3,5,7,5,7
35,2020-12-31,1,542454,5,4,2,4,5,4
34,2020-12-24,4,977686,9,7,7,6,8,6
33,2020-12-17,4,596219,5,9,6,2,1,9
32,2020-12-10,1,579176,5,7,9,1,7,6
31,2020-12-03,1,771598,7,7,1,5,9,8
30,2020-11-26,3,487215,4,8,7,2,1,5
29,2020-11-19,4,355192,3,5,5,1,9,2
28,2020-11-12,5,080839,0,8,0,8,3,9
27,2020-11-05,5,412008,4,1,2,0,0,8
26,2020-10-29,3,192856,1,9,2,8,5,6
25,2020-10-22,3,463637,4,6,3,6,3,7
24,2020-10-15,2,002989,0,0,2,9,8,9
23,2020-10-08,4,158071,1,5,8,0,7,1
22,2020-10-01,1,913622,9,1,3,6,2,2
21,2020-09-24,1,239937,2,3,9,9,3,7
20,2020-09-17,1,819605,8,1,9,6,0,5
19,2020-09-10,5,859219,8,5,9,2,1,9
18,2020-09-03,1,562222,5,6,2,2,2,2
17,2020-08-27,3,317227,3,1,7,2,2,7
16,2020-08-20,4,664056,6,6,4,0,5,6
15,2020-08-13,4,477238,4,7,7,2,3,8
14,2020-08-06,3,432496,4,3,2,4,9,6
13,2020-07-30,1,669245,6,6,9,2,4,5
12,2020-07-23,5,076676,0,7,6,6,7,6
11,2020-07-16,1,867654,8,6,7,6,5,4
10,2020-07-09,2,770173,7,7,0,1,7,3
9,2020-07-02,3,133510,1,3,3,5,1,0
8,2020-06-25,4,234058,2,3,4,0,5,8
7,2020-06-18,2,597093,5,9,7,0,9,3
6,2020-06-11,5,193202,1,9,3,2,0,2
5,2020-06-04,4,754655,7,5,4,6,5,5
4,2020-05-28,4,124420,1,2,4,4,2,0
3,2020-05-21,4,544955,5,4,4,9,5,5
2,2020-05-14,2,450558,4,5,0,5,5,8
1,2020-05-07,4,162132,1,6,2,1,3,2
